fact_id,fact_group_id,entity,entity_type,attribute,value,text
F036,G008,Solara Grid,company,founded_year,2018,Solara Grid was founded in 2018.
F037,G008,Solara Grid,company,headquarters,Phoenix,Solara Grid is headquartered in Phoenix.
F038,G008,Solara Grid,company,ceo,Isabel Ortiz,The CEO of Solara Grid is Isabel Ortiz.
F039,G008,Solara Grid,company,flagship_product,GridBalance AI,The flagship product of Solara Grid is GridBalance AI.
F040,G008,Solara Grid,company,industry,Renewable Energy,Solara Grid operates in the Renewable Energy industry.
F041,G009,Helion Power,company,founded_year,2020,Helion Power was founded in 2020.
F042,G009,Helion Power,company,headquarters,Tucson,Helion Power is headquartered in Tucson.
F043,G009,Helion Power,company,ceo,Isabel Ortiz,The CEO of Helion Power is Isabel Ortiz.
F044,G009,Helion Power,company,flagship_product,ThermalCore,The flagship product of Helion Power is ThermalCore.
F045,G009,Helion Power,company,industry,Renewable Energy,Helion Power operates in the Renewable Energy industry.
F046,G010,Elena Marchetti,person,birth_city,Turin,Elena Marchetti was born in Turin.
F047,G010,Elena Marchetti,person,education,Politecnico di Torino,Elena Marchetti graduated from Politecnico di Torino.
F048,G010,Elena Marchetti,person,current_company,VoltEdge Robotics,Elena Marchetti currently works at VoltEdge Robotics.
F049,G010,Elena Marchetti,person,role,Firmware Lead,The role of Elena Marchetti is Firmware Lead.
F050,G010,Elena Marchetti,person,previous_company,Bosch,Elena Marchetti previously worked at Bosch.
F051,G011,Davide Ferraro,person,birth_city,Turin,Davide Ferraro was born in Turin.
F052,G011,Davide Ferraro,person,education,Politecnico di Torino,Davide Ferraro graduated from Politecnico di Torino.
F053,G011,Davide Ferraro,person,current_company,VoltEdge Robotics,Davide Ferraro currently works at VoltEdge Robotics.
F054,G011,Davide Ferraro,person,role,Battery Systems Lead,The role of Davide Ferraro is Battery Systems Lead.
F055,G011,Davide Ferraro,person,previous_company,Magna,Davide Ferraro previously worked at Magna.
F056,G012,Chiara Bellini,person,birth_city,Milan,Chiara Bellini was born in Milan.
F057,G012,Chiara Bellini,person,education,Politecnico di Milano,Chiara Bellini graduated from Politecnico di Milano.
F058,G012,Chiara Bellini,person,current_company,VoltEdge Robotics,Chiara Bellini currently works at VoltEdge Robotics.
F059,G012,Chiara Bellini,person,role,Chassis Engineer,The role of Chiara Bellini is Chassis Engineer.
F060,G012,Chiara Bellini,person,previous_company,Pirelli,Chiara Bellini previously worked at Pirelli.
F061,G013,Femi Adeyemi,person,birth_city,Lagos,Femi Adeyemi was born in Lagos.
F062,G013,Femi Adeyemi,person,education,University of Lagos,Femi Adeyemi graduated from University of Lagos.
F063,G013,Femi Adeyemi,person,current_company,SolarGrid Africa,Femi Adeyemi currently works at SolarGrid Africa.
F064,G013,Femi Adeyemi,person,role,Systems Architect,The role of Femi Adeyemi is Systems Architect.
F065,G013,Femi Adeyemi,person,previous_company,Shell,Femi Adeyemi previously worked at Shell.
F066,G014,Ngozi Okafor,person,birth_city,Lagos,Ngozi Okafor was born in Lagos.
F067,G014,Ngozi Okafor,person,education,University of Ibadan,Ngozi Okafor graduated from University of Ibadan.
F068,G014,Ngozi Okafor,person,current_company,AgroSat Analytics,Ngozi Okafor currently works at AgroSat Analytics.
F069,G014,Ngozi Okafor,person,role,Data Science Lead,The role of Ngozi Okafor is Data Science Lead.
F070,G014,Ngozi Okafor,person,previous_company,Cargill,Ngozi Okafor previously worked at Cargill.
F071,G015,Ashgrove Dynamics,company,founded_year,2018,Ashgrove Dynamics was founded in 2018.
F072,G015,Ashgrove Dynamics,company,headquarters,Nairobi,Ashgrove Dynamics is headquartered in Nairobi.
F073,G015,Ashgrove Dynamics,company,ceo,Ingrid Duarte,The CEO of Ashgrove Dynamics is Ingrid Duarte.
F074,G015,Ashgrove Dynamics,company,flagship_product,Aria Platform 9,The flagship product of Ashgrove Dynamics is Aria Platform 9.
F075,G015,Ashgrove Dynamics,company,industry,Robotics,Ashgrove Dynamics operates in the Robotics industry.
F076,G016,Windrose Health,company,founded_year,2016,Windrose Health was founded in 2016.
F077,G016,Windrose Health,company,headquarters,Warsaw,Windrose Health is headquartered in Warsaw.
F078,G016,Windrose Health,company,ceo,Tomas Berg,The CEO of Windrose Health is Tomas Berg.
F079,G016,Windrose Health,company,flagship_product,PulseGrid 9,The flagship product of Windrose Health is PulseGrid 9.
F080,G016,Windrose Health,company,industry,Agricultural Tech,Windrose Health operates in the Agricultural Tech industry.
F081,G017,Vertex Materials,company,founded_year,2021,Vertex Materials was founded in 2021.
F082,G017,Vertex Materials,company,headquarters,Auckland,Vertex Materials is headquartered in Auckland.
F083,G017,Vertex Materials,company,ceo,Meera Osei,The CEO of Vertex Materials is Meera Osei.
F084,G017,Vertex Materials,company,flagship_product,Ember Stack 5,The flagship product of Vertex Materials is Ember Stack 5.
F085,G017,Vertex Materials,company,industry,Materials Science,Vertex Materials operates in the Materials Science industry.
F086,G018,Vertex Logistics,company,founded_year,2020,Vertex Logistics was founded in 2020.
F087,G018,Vertex Logistics,company,headquarters,Helsinki,Vertex Logistics is headquartered in Helsinki.
F088,G018,Vertex Logistics,company,ceo,Lukas Kessler,The CEO of Vertex Logistics is Lukas Kessler.
F089,G018,Vertex Logistics,company,flagship_product,Vantage Engine 4,The flagship product of Vertex Logistics is Vantage Engine 4.
F090,G018,Vertex Logistics,company,industry,Materials Science,Vertex Logistics operates in the Materials Science industry.
F091,G019,Amber Systems,company,founded_year,2016,Amber Systems was founded in 2016.
F092,G019,Amber Systems,company,headquarters,Krakow,Amber Systems is headquartered in Krakow.
F093,G019,Amber Systems,company,ceo,Aiko Ivanov,The CEO of Amber Systems is Aiko Ivanov.
F094,G019,Amber Systems,company,flagship_product,Orbit Suite 5,The flagship product of Amber Systems is Orbit Suite 5.
F095,G019,Amber Systems,company,industry,Materials Science,Amber Systems operates in the Materials Science industry.
F096,G020,Lumen Therapeutics,company,founded_year,2016,Lumen Therapeutics was founded in 2016.
F097,G020,Lumen Therapeutics,company,headquarters,Kyoto,Lumen Therapeutics is headquartered in Kyoto.
F098,G020,Lumen Therapeutics,company,ceo,Layla Osei,The CEO of Lumen Therapeutics is Layla Osei.
F099,G020,Lumen Therapeutics,company,flagship_product,Aria Platform 9,The flagship product of Lumen Therapeutics is Aria Platform 9.
F100,G020,Lumen Therapeutics,company,industry,Cybersecurity,Lumen Therapeutics operates in the Cybersecurity industry.
F101,G021,Clearvale Energy,company,founded_year,2018,Clearvale Energy was founded in 2018.
F102,G021,Clearvale Energy,company,headquarters,Denver,Clearvale Energy is headquartered in Denver.
F103,G021,Clearvale Energy,company,ceo,Bilal Blomqvist,The CEO of Clearvale Energy is Bilal Blomqvist.
F104,G021,Clearvale Energy,company,flagship_product,Sentinel Core 4,The flagship product of Clearvale Energy is Sentinel Core 4.
F105,G021,Clearvale Energy,company,industry,Materials Science,Clearvale Energy operates in the Materials Science industry.
F106,G022,Halcyon Systems,company,founded_year,2021,Halcyon Systems was founded in 2021.
F107,G022,Halcyon Systems,company,headquarters,Helsinki,Halcyon Systems is headquartered in Helsinki.
F108,G022,Halcyon Systems,company,ceo,Carlos Silva,The CEO of Halcyon Systems is Carlos Silva.
F109,G022,Halcyon Systems,company,flagship_product,Ember Stack 6,The flagship product of Halcyon Systems is Ember Stack 6.
F110,G022,Halcyon Systems,company,industry,Biotechnology,Halcyon Systems operates in the Biotechnology industry.
F111,G023,Driftwood Bio,company,founded_year,2016,Driftwood Bio was founded in 2016.
F112,G023,Driftwood Bio,company,headquarters,Seoul,Driftwood Bio is headquartered in Seoul.
F113,G023,Driftwood Bio,company,ceo,Meera Novak,The CEO of Driftwood Bio is Meera Novak.
F114,G023,Driftwood Bio,company,flagship_product,Zenith Array 4,The flagship product of Driftwood Bio is Zenith Array 4.
F115,G023,Driftwood Bio,company,industry,Biotechnology,Driftwood Bio operates in the Biotechnology industry.
F116,G024,Fernwood Health,company,founded_year,2018,Fernwood Health was founded in 2018.
F117,G024,Fernwood Health,company,headquarters,Santiago,Fernwood Health is headquartered in Santiago.
F118,G024,Fernwood Health,company,ceo,Ingrid Osei,The CEO of Fernwood Health is Ingrid Osei.
F119,G024,Fernwood Health,company,flagship_product,Sentinel Core 4,The flagship product of Fernwood Health is Sentinel Core 4.
F120,G024,Fernwood Health,company,industry,EdTech,Fernwood Health operates in the EdTech industry.
F121,G025,Lumen Logistics,company,founded_year,2019,Lumen Logistics was founded in 2019.
F122,G025,Lumen Logistics,company,headquarters,Denver,Lumen Logistics is headquartered in Denver.
F123,G025,Lumen Logistics,company,ceo,Elin Ivanov,The CEO of Lumen Logistics is Elin Ivanov.
F124,G025,Lumen Logistics,company,flagship_product,PulseGrid 6,The flagship product of Lumen Logistics is PulseGrid 6.
F125,G025,Lumen Logistics,company,industry,FinTech,Lumen Logistics operates in the FinTech industry.
F126,G026,Brightwell Health,company,founded_year,2019,Brightwell Health was founded in 2019.
F127,G026,Brightwell Health,company,headquarters,Nairobi,Brightwell Health is headquartered in Nairobi.
F128,G026,Brightwell Health,company,ceo,Layla Haddad,The CEO of Brightwell Health is Layla Haddad.
F129,G026,Brightwell Health,company,flagship_product,PulseGrid 9,The flagship product of Brightwell Health is PulseGrid 9.
F130,G026,Brightwell Health,company,industry,Logistics Tech,Brightwell Health operates in the Logistics Tech industry.
F131,G027,Crescent Therapeutics,company,founded_year,2021,Crescent Therapeutics was founded in 2021.
F132,G027,Crescent Therapeutics,company,headquarters,Krakow,Crescent Therapeutics is headquartered in Krakow.
F133,G027,Crescent Therapeutics,company,ceo,Hana Kessler,The CEO of Crescent Therapeutics is Hana Kessler.
F134,G027,Crescent Therapeutics,company,flagship_product,PulseGrid 3,The flagship product of Crescent Therapeutics is PulseGrid 3.
F135,G027,Crescent Therapeutics,company,industry,Logistics Tech,Crescent Therapeutics operates in the Logistics Tech industry.
F136,G028,Brightwell Systems,company,founded_year,2017,Brightwell Systems was founded in 2017.
F137,G028,Brightwell Systems,company,headquarters,Seoul,Brightwell Systems is headquartered in Seoul.
F138,G028,Brightwell Systems,company,ceo,Tomas Silva,The CEO of Brightwell Systems is Tomas Silva.
F139,G028,Brightwell Systems,company,flagship_product,Cascade Module 2,The flagship product of Brightwell Systems is Cascade Module 2.
F140,G028,Brightwell Systems,company,industry,Renewable Energy,Brightwell Systems operates in the Renewable Energy industry.
F141,G029,Silvergate Aerospace,company,founded_year,2019,Silvergate Aerospace was founded in 2019.
F142,G029,Silvergate Aerospace,company,headquarters,Austin,Silvergate Aerospace is headquartered in Austin.
F143,G029,Silvergate Aerospace,company,ceo,Layla Sano,The CEO of Silvergate Aerospace is Layla Sano.
F144,G029,Silvergate Aerospace,company,flagship_product,Aria Platform 9,The flagship product of Silvergate Aerospace is Aria Platform 9.
F145,G029,Silvergate Aerospace,company,industry,Materials Science,Silvergate Aerospace operates in the Materials Science industry.
F146,G030,Crescent Logistics,company,founded_year,2019,Crescent Logistics was founded in 2019.
F147,G030,Crescent Logistics,company,headquarters,Vancouver,Crescent Logistics is headquartered in Vancouver.
F148,G030,Crescent Logistics,company,ceo,Elin Silva,The CEO of Crescent Logistics is Elin Silva.
F149,G030,Crescent Logistics,company,flagship_product,Vantage Engine 8,The flagship product of Crescent Logistics is Vantage Engine 8.
F150,G030,Crescent Logistics,company,industry,Healthcare AI,Crescent Logistics operates in the Healthcare AI industry.
F151,G031,Crescent Materials,company,founded_year,2016,Crescent Materials was founded in 2016.
F152,G031,Crescent Materials,company,headquarters,Cape Town,Crescent Materials is headquartered in Cape Town.
F153,G031,Crescent Materials,company,ceo,Lukas Sano,The CEO of Crescent Materials is Lukas Sano.
F154,G031,Crescent Materials,company,flagship_product,Zenith Array 4,The flagship product of Crescent Materials is Zenith Array 4.
F155,G031,Crescent Materials,company,industry,Biotechnology,Crescent Materials operates in the Biotechnology industry.
F156,G032,Driftwood Logistics,company,founded_year,2023,Driftwood Logistics was founded in 2023.
F157,G032,Driftwood Logistics,company,headquarters,Austin,Driftwood Logistics is headquartered in Austin.
F158,G032,Driftwood Logistics,company,ceo,Lukas Osei,The CEO of Driftwood Logistics is Lukas Osei.
F159,G032,Driftwood Logistics,company,flagship_product,Lattice Bridge 6,The flagship product of Driftwood Logistics is Lattice Bridge 6.
F160,G032,Driftwood Logistics,company,industry,Aerospace,Driftwood Logistics operates in the Aerospace industry.
F161,G033,Vertex Systems,company,founded_year,2018,Vertex Systems was founded in 2018.
F162,G033,Vertex Systems,company,headquarters,Boston,Vertex Systems is headquartered in Boston.
F163,G033,Vertex Systems,company,ceo,Bilal Rahman,The CEO of Vertex Systems is Bilal Rahman.
F164,G033,Vertex Systems,company,flagship_product,PulseGrid 2,The flagship product of Vertex Systems is PulseGrid 2.
F165,G033,Vertex Systems,company,industry,Robotics,Vertex Systems operates in the Robotics industry.
F166,G034,Brightwell Security,company,founded_year,2017,Brightwell Security was founded in 2017.
F167,G034,Brightwell Security,company,headquarters,Nairobi,Brightwell Security is headquartered in Nairobi.
F168,G034,Brightwell Security,company,ceo,Aiko Osei,The CEO of Brightwell Security is Aiko Osei.
F169,G034,Brightwell Security,company,flagship_product,Ember Stack 9,The flagship product of Brightwell Security is Ember Stack 9.
F170,G034,Brightwell Security,company,industry,Biotechnology,Brightwell Security operates in the Biotechnology industry.
F171,G035,Clearvale Health,company,founded_year,2021,Clearvale Health was founded in 2021.
F172,G035,Clearvale Health,company,headquarters,Krakow,Clearvale Health is headquartered in Krakow.
F173,G035,Clearvale Health,company,ceo,Meera Rahman,The CEO of Clearvale Health is Meera Rahman.
F174,G035,Clearvale Health,company,flagship_product,Ember Stack 9,The flagship product of Clearvale Health is Ember Stack 9.
F175,G035,Clearvale Health,company,industry,Aerospace,Clearvale Health operates in the Aerospace industry.
F176,G036,Ashgrove Robotics,company,founded_year,2020,Ashgrove Robotics was founded in 2020.
F177,G036,Ashgrove Robotics,company,headquarters,Austin,Ashgrove Robotics is headquartered in Austin.
F178,G036,Ashgrove Robotics,company,ceo,Carlos Nakamura,The CEO of Ashgrove Robotics is Carlos Nakamura.
F179,G036,Ashgrove Robotics,company,flagship_product,Lattice Bridge 9,The flagship product of Ashgrove Robotics is Lattice Bridge 9.
F180,G036,Ashgrove Robotics,company,industry,FinTech,Ashgrove Robotics operates in the FinTech industry.
F181,G037,Windrose Robotics,company,founded_year,2015,Windrose Robotics was founded in 2015.
F182,G037,Windrose Robotics,company,headquarters,Auckland,Windrose Robotics is headquartered in Auckland.
F183,G037,Windrose Robotics,company,ceo,Sara Nakamura,The CEO of Windrose Robotics is Sara Nakamura.
F184,G037,Windrose Robotics,company,flagship_product,Aria Platform 1,The flagship product of Windrose Robotics is Aria Platform 1.
F185,G037,Windrose Robotics,company,industry,EdTech,Windrose Robotics operates in the EdTech industry.
F186,G038,Stonebrook Robotics,company,founded_year,2018,Stonebrook Robotics was founded in 2018.
F187,G038,Stonebrook Robotics,company,headquarters,Nairobi,Stonebrook Robotics is headquartered in Nairobi.
F188,G038,Stonebrook Robotics,company,ceo,Ingrid Petrov,The CEO of Stonebrook Robotics is Ingrid Petrov.
F189,G038,Stonebrook Robotics,company,flagship_product,Lattice Bridge 8,The flagship product of Stonebrook Robotics is Lattice Bridge 8.
F190,G038,Stonebrook Robotics,company,industry,FinTech,Stonebrook Robotics operates in the FinTech industry.
F191,G039,Brightwell Logistics,company,founded_year,2016,Brightwell Logistics was founded in 2016.
F192,G039,Brightwell Logistics,company,headquarters,Lisbon,Brightwell Logistics is headquartered in Lisbon.
F193,G039,Brightwell Logistics,company,ceo,Erik Okonkwo,The CEO of Brightwell Logistics is Erik Okonkwo.
F194,G039,Brightwell Logistics,company,flagship_product,Cascade Module 6,The flagship product of Brightwell Logistics is Cascade Module 6.
F195,G039,Brightwell Logistics,company,industry,Renewable Energy,Brightwell Logistics operates in the Renewable Energy industry.
F196,G040,Copperline Networks,company,founded_year,2020,Copperline Networks was founded in 2020.
F197,G040,Copperline Networks,company,headquarters,Lisbon,Copperline Networks is headquartered in Lisbon.
F198,G040,Copperline Networks,company,ceo,Tomas Ivanov,The CEO of Copperline Networks is Tomas Ivanov.
F199,G040,Copperline Networks,company,flagship_product,PulseGrid 4,The flagship product of Copperline Networks is PulseGrid 4.
F200,G040,Copperline Networks,company,industry,FinTech,Copperline Networks operates in the FinTech industry.
F201,G041,Emberly Networks,company,founded_year,2017,Emberly Networks was founded in 2017.
F202,G041,Emberly Networks,company,headquarters,Helsinki,Emberly Networks is headquartered in Helsinki.
F203,G041,Emberly Networks,company,ceo,Fatima Kessler,The CEO of Emberly Networks is Fatima Kessler.
F204,G041,Emberly Networks,company,flagship_product,Ember Stack 4,The flagship product of Emberly Networks is Ember Stack 4.
F205,G041,Emberly Networks,company,industry,EdTech,Emberly Networks operates in the EdTech industry.
F206,G042,Cobalt Networks,company,founded_year,2015,Cobalt Networks was founded in 2015.
F207,G042,Cobalt Networks,company,headquarters,Austin,Cobalt Networks is headquartered in Austin.
F208,G042,Cobalt Networks,company,ceo,Diego Silva,The CEO of Cobalt Networks is Diego Silva.
F209,G042,Cobalt Networks,company,flagship_product,Aria Platform 4,The flagship product of Cobalt Networks is Aria Platform 4.
F210,G042,Cobalt Networks,company,industry,Biotechnology,Cobalt Networks operates in the Biotechnology industry.
F211,G043,Brightwell Robotics,company,founded_year,2017,Brightwell Robotics was founded in 2017.
F212,G043,Brightwell Robotics,company,headquarters,Kyoto,Brightwell Robotics is headquartered in Kyoto.
F213,G043,Brightwell Robotics,company,ceo,Noor Kowalski,The CEO of Brightwell Robotics is Noor Kowalski.
F214,G043,Brightwell Robotics,company,flagship_product,Sentinel Core 7,The flagship product of Brightwell Robotics is Sentinel Core 7.
F215,G043,Brightwell Robotics,company,industry,Cybersecurity,Brightwell Robotics operates in the Cybersecurity industry.
F216,G044,Fernwood Analytics,company,founded_year,2022,Fernwood Analytics was founded in 2022.
F217,G044,Fernwood Analytics,company,headquarters,Nairobi,Fernwood Analytics is headquartered in Nairobi.
F218,G044,Fernwood Analytics,company,ceo,Erik Osei,The CEO of Fernwood Analytics is Erik Osei.
F219,G044,Fernwood Analytics,company,flagship_product,PulseGrid 5,The flagship product of Fernwood Analytics is PulseGrid 5.
F220,G044,Fernwood Analytics,company,industry,FinTech,Fernwood Analytics operates in the FinTech industry.
F221,G045,Lumen Aerospace,company,founded_year,2020,Lumen Aerospace was founded in 2020.
F222,G045,Lumen Aerospace,company,headquarters,Boston,Lumen Aerospace is headquartered in Boston.
F223,G045,Lumen Aerospace,company,ceo,Diego Kowalski,The CEO of Lumen Aerospace is Diego Kowalski.
F224,G045,Lumen Aerospace,company,flagship_product,Sentinel Core 8,The flagship product of Lumen Aerospace is Sentinel Core 8.
F225,G045,Lumen Aerospace,company,industry,Logistics Tech,Lumen Aerospace operates in the Logistics Tech industry.
F226,G046,Stonebrook Labs,company,founded_year,2016,Stonebrook Labs was founded in 2016.
F227,G046,Stonebrook Labs,company,headquarters,Seoul,Stonebrook Labs is headquartered in Seoul.
F228,G046,Stonebrook Labs,company,ceo,Tomas Sano,The CEO of Stonebrook Labs is Tomas Sano.
F229,G046,Stonebrook Labs,company,flagship_product,Aria Platform 2,The flagship product of Stonebrook Labs is Aria Platform 2.
F230,G046,Stonebrook Labs,company,industry,InsurTech,Stonebrook Labs operates in the InsurTech industry.
F231,G047,Northbridge Health,company,founded_year,2018,Northbridge Health was founded in 2018.
F232,G047,Northbridge Health,company,headquarters,Boston,Northbridge Health is headquartered in Boston.
F233,G047,Northbridge Health,company,ceo,Peter Blomqvist,The CEO of Northbridge Health is Peter Blomqvist.
F234,G047,Northbridge Health,company,flagship_product,Lattice Bridge 2,The flagship product of Northbridge Health is Lattice Bridge 2.
F235,G047,Northbridge Health,company,industry,Renewable Energy,Northbridge Health operates in the Renewable Energy industry.
F236,G048,Windrose Aerospace,company,founded_year,2019,Windrose Aerospace was founded in 2019.
F237,G048,Windrose Aerospace,company,headquarters,Warsaw,Windrose Aerospace is headquartered in Warsaw.
F238,G048,Windrose Aerospace,company,ceo,Anya Larsen,The CEO of Windrose Aerospace is Anya Larsen.
F239,G048,Windrose Aerospace,company,flagship_product,Orbit Suite 4,The flagship product of Windrose Aerospace is Orbit Suite 4.
F240,G048,Windrose Aerospace,company,industry,Cybersecurity,Windrose Aerospace operates in the Cybersecurity industry.
F241,G049,Silvergate Labs,company,founded_year,2020,Silvergate Labs was founded in 2020.
F242,G049,Silvergate Labs,company,headquarters,Denver,Silvergate Labs is headquartered in Denver.
F243,G049,Silvergate Labs,company,ceo,Sanjay Dube,The CEO of Silvergate Labs is Sanjay Dube.
F244,G049,Silvergate Labs,company,flagship_product,Sentinel Core 8,The flagship product of Silvergate Labs is Sentinel Core 8.
F245,G049,Silvergate Labs,company,industry,Agricultural Tech,Silvergate Labs operates in the Agricultural Tech industry.
F246,G050,Windrose Systems,company,founded_year,2019,Windrose Systems was founded in 2019.
F247,G050,Windrose Systems,company,headquarters,Nairobi,Windrose Systems is headquartered in Nairobi.
F248,G050,Windrose Systems,company,ceo,Meera Sano,The CEO of Windrose Systems is Meera Sano.
F249,G050,Windrose Systems,company,flagship_product,Orbit Suite 2,The flagship product of Windrose Systems is Orbit Suite 2.
F250,G050,Windrose Systems,company,industry,Semiconductor Design,Windrose Systems operates in the Semiconductor Design industry.
F251,G051,Northbridge Bio,company,founded_year,2022,Northbridge Bio was founded in 2022.
F252,G051,Northbridge Bio,company,headquarters,Cape Town,Northbridge Bio is headquartered in Cape Town.
F253,G051,Northbridge Bio,company,ceo,Sanjay Virtanen,The CEO of Northbridge Bio is Sanjay Virtanen.
F254,G051,Northbridge Bio,company,flagship_product,Lattice Bridge 9,The flagship product of Northbridge Bio is Lattice Bridge 9.
F255,G051,Northbridge Bio,company,industry,Healthcare AI,Northbridge Bio operates in the Healthcare AI industry.
F256,G052,Emberly Analytics,company,founded_year,2019,Emberly Analytics was founded in 2019.
F257,G052,Emberly Analytics,company,headquarters,Lisbon,Emberly Analytics is headquartered in Lisbon.
F258,G052,Emberly Analytics,company,ceo,Peter Haddad,The CEO of Emberly Analytics is Peter Haddad.
F259,G052,Emberly Analytics,company,flagship_product,Aria Platform 9,The flagship product of Emberly Analytics is Aria Platform 9.
F260,G052,Emberly Analytics,company,industry,Biotechnology,Emberly Analytics operates in the Biotechnology industry.
F261,G053,Crescent Analytics,company,founded_year,2020,Crescent Analytics was founded in 2020.
F262,G053,Crescent Analytics,company,headquarters,Warsaw,Crescent Analytics is headquartered in Warsaw.
F263,G053,Crescent Analytics,company,ceo,Felix Okonkwo,The CEO of Crescent Analytics is Felix Okonkwo.
F264,G053,Crescent Analytics,company,flagship_product,Nexus Frame 9,The flagship product of Crescent Analytics is Nexus Frame 9.
F265,G053,Crescent Analytics,company,industry,Aerospace,Crescent Analytics operates in the Aerospace industry.
F266,G054,Crescent Energy,company,founded_year,2021,Crescent Energy was founded in 2021.
F267,G054,Crescent Energy,company,headquarters,Helsinki,Crescent Energy is headquartered in Helsinki.
F268,G054,Crescent Energy,company,ceo,Tomas Nakamura,The CEO of Crescent Energy is Tomas Nakamura.
F269,G054,Crescent Energy,company,flagship_product,Sentinel Core 1,The flagship product of Crescent Energy is Sentinel Core 1.
F270,G054,Crescent Energy,company,industry,Genomics,Crescent Energy operates in the Genomics industry.
F271,G055,Meridian Genomics,company,founded_year,2022,Meridian Genomics was founded in 2022.
F272,G055,Meridian Genomics,company,headquarters,Vancouver,Meridian Genomics is headquartered in Vancouver.
F273,G055,Meridian Genomics,company,ceo,Ingrid Virtanen,The CEO of Meridian Genomics is Ingrid Virtanen.
F274,G055,Meridian Genomics,company,flagship_product,Zenith Array 1,The flagship product of Meridian Genomics is Zenith Array 1.
F275,G055,Meridian Genomics,company,industry,Robotics,Meridian Genomics operates in the Robotics industry.
F276,G056,Cobalt Energy,company,founded_year,2015,Cobalt Energy was founded in 2015.
